"","x"
"bonus",2
"boom",2
"breakthrough",2
"breathtak",2
"brillianc",2
"brilliant",2
"captiv",2
"cashback",2
"catch",2
"cheap",2
"cheer",2
"cherish",2
"civil",2
"class",2
"clean",2
"clever",2
"compact",2
"confid",2
"consist",2
"convinc",2
"cooper",2
"correct",2
"counter",2
"crisp",2
"cure",2
"cute",2
"dare",2
"dead",2
"decis",2
"depend",2
"deserv",2
"dexter",2
"dignifi",2
"distinct",2
"divin",2
"dote",2
"dumbfound",2
"ecstasi",2
"ecstat",2
"educ",2
"effortless",2
"endear",2
"energi",2
"enlighten",2
"enraptur",2
"enrich",2
"entranc",2
"enviabl",2
"euphor",2
"except",2
"exquisit",2
"extol",2
"eye",2
"eyecatch",2
"fabul",2
"fame",2
"fantast",2
"fashion",2
"fastest",2
"favorit",2
"fearless",2
"feasibl",2
"felicit",2
"fervent",2
"fervid",2
"flawless",2
"flexibl",2
"flourish",2
"fortuit",2
"freedom",2
"gallant",2
"gem",2
"generous",2
"glimmer",2
"glisten",2
"glorious",2
"god",2
"gorgeous",2
"grate",2
"great",2
"grow",2
"hallmark",2
"handsom",2
"happi",2
"hearten",2
"heaven",2
"hero",2
"heroic",2
"high",2
"hotcak",2
"humour",2
"immacul",2
"impecc",2
"incred",2
"indulg",2
"inestim",2
"ingeni",2
"innov",2
"insight",2
"integr",2
"interest",2
"invalu",2
"invigor",2
"invinc",2
"inviol",2
"irresist",2
"jaw",2
"joyous",2
"kind",2
"laudabl",2
"lavish",2
"liber",2
"lovabl",2
"lucid",2
"lucki",2
"magic",2
"magnanim",2
"manag",2
"masterpiec",2
"merri",2
"meticul",2
"miracl",2
"monument",2
"neat",2
"nice",2
"non",2
"obsess",2
"open",2
"optim",2
"outstand",2
"painless",2
"patient",2
"patriot",2
"persever",2
"phenomen",2
"play",2
"pleasant",2
"poetic",2
"pois",2
"polit",2
"power",2
"prais",2
"precis",2
"privileg",2
"problem",2
"product",2
"profici",2
"profound",2
"profus",2
"progress",2
"promin",2
"prompt",2
"proper",2
"propiti",2
"prove",2
"prudent",2
"purpos",2
"qualifi",2
"qualiti",2
"reaffirm",2
"reassur",2
"rectifi",2
"redeem",2
"refund",2
"regal",2
"regard",2
"reliabl",2
"remark",2
"renown",2
"replac",2
"reput",2
"resound",2
"resourc",2
"respons",2
"revel",2
"risk",2
"rock",2
"rockstar",2
"romant",2
"safe",2
"saint",2
"secur",2
"sensibl",2
"seren",2
"sharp",2
"shimmer",2
"smart",2
"solicit",2
"sooth",2
"sound",2
"sparkl",2
"spectacular",2
"spirit",2
"splendid",2
"stabil",2
"star",2
"state",2
"steadi",2
"stellar",2
"strike",2
"stupend",2
"stylish",2
"suav",2
"superior",2
"suprem",2
"sustain",2
"swift",2
"tenaci",2
"tender",2
"terrif",2
"thank",2
"thrive",2
"thumb",2
"time",2
"tranquil",2
"triumphant",2
"trustworthi",2
"unabash",2
"unequivoc",2
"unquestion",2
"use",2
"user",2
"valiant",2
"versatil",2
"vibrant",2
"victori",2
"vigil",2
"virtuous",2
"warm",2
"will",2
"winner",2
"wise",2
"worth",2
"worthi",2
"abid",1
"abound",1
"acclam",1
"accommod",1
"accomod",1
"acumen",1
"adequ",1
"adjust",1
"adulatori",1
"advanc",1
"adventur",1
"adventuresom",1
"affection",1
"affin",1
"affluenc",1
"affluent",1
"aford",1
"amelior",1
"amiabili",1
"amiti",1
"ampl",1
"ampli",1
"apotheosi",1
"applaud",1
"appropri",1
"ardor",1
"around",1
"art",1
"articul",1
"astut",1
"attent",1
"attun",1
"auspici",1
"authent",1
"authorit",1
"autonom",1
"avail",1
"aver",1
"awestruck",1
"awsom",1
"backbon",1
"backlit",1
"bargain",1
"beauteous",1
"beautifi",1
"beautifullli",1
"behav",1
"belov",1
"benefactor",1
"benefic",1
"beneficiari",1
"benifit",1
"beuti",1
"blameless",1
"blith",1
"blockbust",1
"bloom",1
"blossom",1
"blow",1
"bolster",1
"bonni",1
"boost",1
"boundless",1
"bounti",1
"braini",1
"brainiest",1
"brand",1
"brave",1
"braveri",1
"bravo",1
"breathless",1
"bred",1
"breez",1
"bright",1
"brighten",1
"brighter",1
"brightest",1
"brisk",1
"brother",1
"bullish",1
"buoyant",1
"cabound",1
"cajol",1
"capac",1
"carefre",1
"catchi",1
"celebratori",1
"champ",1
"champion",1
"charisma",1
"charismat",1
"charit",1
"chast",1
"cheaper",1
"cheapest",1
"cheeri",1
"cherub",1
"chic",1
"chivalr",1
"chivalri",1
"clariti",1
"classi",1
"classic",1
"cleaner",1
"cleanest",1
"cleanli",1
"clearer",1
"cohes",1
"color",1
"come",1
"comfi",1
"commit",1
"commodi",1
"compass",1
"compassion",1
"compat",1
"competit",1
"complementari",1
"compliant",1
"compliment",1
"complimentari",1
"comprehens",1
"concili",1
"conciliatori",1
"concis",1
"congeni",1
"congratulatori",1
"connect",1
"conscienti",1
"consider",1
"construct",1
"consumm",1
"content",1
"continu",1
"contrasti",1
"contribut",1
"convienc",1
"convieni",1
"convient",1
"cool",1
"coolest",1
"cornerston",1
"court",1
"courteous",1
"coven",1
"cozi",1
"creativ",1
"credenc",1
"credibl",1
"crisper",1
"cushi",1
"cut",1
"dank",1
"danken",1
"darl",1
"dash",1
"dauntless",1
"dawn",1
"decenc",1
"decent",1
"dedic",1
"defend",1
"defer",1
"deft",1
"deginifi",1
"delect",1
"delic",1
"delicaci",1
"delici",1
"destini",1
"detach",1
"determin",1
"devout",1
"dextrous",1
"digniti",1
"diplomat",1
"dirt",1
"distinguish",1
"diversifi",1
"doubtless",1
"dreamland",1
"drop",1
"drope",1
"dummi",1
"durabl",1
"dynam",1
"easier",1
"easiest",1
"easygo",1
"ecenom",1
"econom",1
"edifi",1
"effectu",1
"efficaci",1
"elan",1
"electrifi",1
"elev",1
"elit",1
"embolden",1
"empath",1
"empathi",1
"empow",1
"empower",1
"energ",1
"energet",1
"engag",1
"engross",1
"enliven",1
"ennobl",1
"enough",1
"enrapt",1
"enterpris",1
"enthus",1
"enthusiasm",1
"entrust",1
"envi",1
"equit",1
"ergonom",1
"err",1
"erudit",1
"establish",1
"ethic",1
"eulog",1
"euphoria",1
"evalu",1
"even",1
"event",1
"everlast",1
"evoc",1
"examplar",1
"examplari",1
"excal",1
"excited",1
"exel",1
"exemplar",1
"exemplari",1
"exoner",1
"expans",1
"expect",1
"expediti",1
"expert",1
"extraordinari",1
"extraordinarili",1
"facilit",1
"fan",1
"fanci",1
"fancier",1
"fancin",1
"fanfar",1
"faster",1
"faultless",1
"fav",1
"fave",1
"favour",1
"feat",1
"featur",1
"fecilit",1
"feisti",1
"felic",1
"fertil",1
"fervor",1
"festiv",1
"fidel",1
"fieri",1
"finer",1
"finest",1
"firmer",1
"flashi",1
"fluent",1
"flutter",1
"foolproof",1
"foremost",1
"foresight",1
"formid",1
"fortitud",1
"fragrant",1
"freed",1
"fresh",1
"fresher",1
"freshest",1
"friendli",1
"frolic",1
"frugal",1
"fruit",1
"ftw",1
"fulfil",1
"fun",1
"futurest",1
"futurist",1
"gaieti",1
"gaili",1
"galor",1
"geeki",1
"geekier",1
"generos",1
"genial",1
"genius",1
"gentl",1
"gentlest",1
"genuin",1
"gift",1
"given",1
"gladden",1
"glamor",1
"glee",1
"gleeful",1
"gleefulli",1
"glitter",1
"glitz",1
"glori",1
"glorifi",1
"godlik",1
"godsend",1
"gold",1
"golden",1
"goodwil",1
"goood",1
"gooood",1
"grand",1
"grandeur",1
"gratif",1
"gratitud",1
"greatest",1
"grin",1
"groundbreak",1
"guarante",1
"guidanc",1
"guiltless",1
"gumption",1
"gush",1
"gusto",1
"gutsi",1
"hail",1
"halcyon",1
"hale",1
"hallow",1
"hand",1
"handi",1
"handier",1
"handili",1
"happier",1
"happili",1
"hard",1
"hardi",1
"hardier",1
"harmless",1
"harmon",1
"headway",1
"heal",1
"health",1
"healthi",1
"heart",1
"heartfelt",1
"heartili",1
"heartwarm",1
"heroin",1
"heroiz",1
"hilari",1
"holi",1
"homag",1
"honest",1
"honesti",1
"hooray",1
"hope",1
"hospit",1
"hot",1
"hottest",1
"hug",1
"human",1
"humbl",1
"humil",1
"idyl",1
"illuminati",1
"illustri",1
"ilu",1
"imacul",1
"imagin",1
"immens",1
"impass",1
"import",1
"indebt",1
"individu",1
"industri",1
"inexpens",1
"influenti",1
"inform",1
"innocu",1
"inpress",1
"instant",1
"instruct",1
"instrument",1
"intent",1
"intim",1
"intimaci",1
"intric",1
"intuit",1
"invent",1
"invulner",1
"irreplac",1
"irreproach",1
"issu",1
"jolli",1
"jollifi",1
"jovial",1
"jubili",1
"judici",1
"just",1
"kid",1
"kindli",1
"knowledg",1
"kudo",1
"larg",1
"last",1
"laud",1
"lean",1
"led",1
"legendari",1
"leverag",1
"leviti",1
"liberti",1
"lifesav",1
"light",1
"lighter",1
"likabl",1
"lionheart",1
"live",1
"logic",1
"long",1
"look",1
"loveli",1
"lover",1
"lower",1
"loyal",1
"loyalti",1
"luck",1
"luckier",1
"luckiest",1
"lucrat",1
"lumin",1
"lush",1
"luster",1
"lustrous",1
"lyric",1
"made",1
"majest",1
"majesti",1
"maneuver",1
"manner",1
"masteri",1
"matchless",1
"meaning",1
"memor",1
"merit",1
"meritori",1
"merrili",1
"merriment",1
"mighti",1
"mightili",1
"mind",1
"modern",1
"modest",1
"modesti",1
"moment",1
"moral",1
"motiv",1
"multi",1
"navig",1
"neatest",1
"new",1
"nicer",1
"nicest",1
"nifti",1
"nimbl",1
"nobl",1
"nobli",1
"noiseless",1
"notabl",1
"notch",1
"noteworthi",1
"novelti",1
"nurtur",1
"oasi",1
"obtain",1
"optimist",1
"opul",1
"order",1
"origin",1
"outdo",1
"outdon",1
"outshin",1
"outshon",1
"outsmart",1
"outstrip",1
"outwit",1
"ovat",1
"overjoy",1
"overtaken",1
"overtook",1
"overtur",1
"pace",1
"pain",1
"palati",1
"pampered",1
"panoram",1
"paradis",1
"paramount",1
"pardon",1
"patienc",1
"peaceabl",1
"peacekeep",1
"peach",1
"peerless",1
"peppi",1
"perform",1
"permiss",1
"person",1
"personag",1
"picturesqu",1
"pieti",1
"pinnacl",1
"plenti",1
"pluse",1
"plush",1
"pluss",1
"poignant",1
"polish",1
"popular",1
"portabl",1
"posh",1
"praiseworthi",1
"pre",1
"precious",1
"preemin",1
"premier",1
"prestig",1
"prestigi",1
"pretti",1
"prettili",1
"priceless",1
"pride",1
"principl",1
"prize",1
"proactiv",1
"prolif",1
"promot",1
"proof",1
"pros",1
"prospro",1
"proud",1
"proven",1
"provid",1
"prowess",1
"prudenc",1
"punctual",1
"pure",1
"purifi",1
"quaint",1
"quicker",1
"quiet",1
"quieter",1
"radianc",1
"radiant",1
"rapid",1
"rapport",1
"rapt",1
"rate",1
"ration",1
"razor",1
"reachabl",1
"readabl",1
"readi",1
"readili",1
"realist",1
"realiz",1
"receiv",1
"recept",1
"reclaim",1
"recomend",1
"reconcil",1
"reconcili",1
"record",1
"recov",1
"recoveri",1
"rectif",1
"redempt",1
"relax",1
"relent",1
"relief",1
"relish",1
"remedi",1
"remiss",1
"remuner",1
"renaiss",1
"renew",1
"resili",1
"resolut",1
"respit",1
"resplend",1
"rest",1
"restor",1
"retract",1
"revit",1
"revolutionari",1
"richer",1
"righten",1
"robust",1
"romantic",1
"roomi",1
"roomier",1
"rosi",1
"round",1
"run",1
"sagac",1
"sage",1
"saintli",1
"salut",1
"salutari",1
"sane",1
"satisfact",1
"satisfactori",1
"satisfactorili",1
"satisifi",1
"saver",1
"savior",1
"savvi",1
"scenic",1
"seamless",1
"season",1
"select",1
"sell",1
"send",1
"sensit",1
"set",1
"sexi",1
"sharper",1
"sharpest",1
"shine",1
"shini",1
"signific",1
"silent",1
"simpler",1
"simplest",1
"slammin",1
"sleek",1
"slick",1
"smarter",1
"smartest",1
"smitten",1
"smoother",1
"smoothest",1
"snappi",1
"snazzi",1
"sociabl",1
"soft",1
"softer",1
"solac",1
"solid",1
"solidar",1
"solver",1
"sophist",1
"soul",1
"spacious",1
"speedi",1
"speedili",1
"spellbound",1
"spiritu",1
"splendor",1
"spontan",1
"sporti",1
"spotless",1
"spright",1
"stabl",1
"stainless",1
"standout",1
"statuesqu",1
"steadiest",1
"stir",1
"straighten",1
"straightforward",1
"streamlin",1
"strive",1
"strong",1
"stronger",1
"strongest",1
"sturdi",1
"sturdier",1
"styliz",1
"sublim",1
"substant",1
"succ",1
"suitabl",1
"super",1
"superb",1
"superbl",1
"suppl",1
"supremaci",1
"supurb",1
"supurbl",1
"surmount",1
"surpass",1
"surreal",1
"surviv",1
"survivor",1
"swank",1
"swanki",1
"swankier",1
"swankiest",1
"sweep",1
"sweeten",1
"sweetheart",1
"tenac",1
"thinner",1
"thrift",1
"thrifti",1
"tickl",1
"tidi",1
"tingl",1
"togeth",1
"toler",1
"toll",1
"topnotch",1
"tough",1
"tougher",1
"toughest",1
"traction",1
"transpar",1
"treasur",1
"tremend",1
"trendi",1
"triumph",1
"triumphal",1
"trivial",1
"trophi",1
"troubl",1
"trump",1
"trumpet",1
"trusti",1
"twink",1
"ultra",1
"unaffect",1
"unassail",1
"unbeat",1
"unbias",1
"unbound",1
"uncompl",1
"uncondit",1
"undamag",1
"undaunt",1
"understand",1
"unencumb",1
"unfaz",1
"unfett",1
"unforgett",1
"uniti",1
"unlimit",1
"unmatch",1
"unparallel",1
"unreal",1
"unrestrict",1
"unriv",1
"unselfish",1
"unwav",1
"upbeat",1
"upheld",1
"uphold",1
"upscal",1
"usabl",1
"useabl",1
"valor",1
"valuabl",1
"varieti",1
"vener",1
"verifi",1
"verit",1
"viewabl",1
"violenc",1
"violent",1
"virtu",1
"visionari",1
"vivaci",1
"vivid",1
"vouch",1
"vouchsaf",1
"warmer",1
"warmheart",1
"warmth",1
"wealthi",1
"welcom",1
"wellb",1
"whoa",1
"wholeheart",1
"wholesom",1
"whooa",1
"whoooa",1
"wieldi",1
"willing",1
"windfal",1
"winnabl",1
"wisdom",1
"wisher",1
"witti",1
"won",1
"wondrous",1
"woo",1
"workabl",1
"world",1
"worthwhil",1
"yay",1
"youth",1
"zeal",1
"zenith",1
"zest",1
"zippi",1
